2026/04/21 20:09:23 🔒 安全配置: 连接限制=10/s, 消息限制=20/s, 聊天限制=1/s, 最大连接数=10000
2026/04/21 20:09:23 🎮 斗地主服务器启动中...
2026/04/21 20:09:23 🚀 服务器启动在 ws://0.0.0.0:1780/ws (CPU核心数: 8)
2026/04/21 21:43:45 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:44:14 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:44:43 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:45:12 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:45:41 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:46:10 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:46:39 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:47:08 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:47:36 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:48:05 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:48:34 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:49:03 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
2026/04/21 21:49:32 📊 [监控] 在线: 0 | Goroutines: 8 | 活跃连接: 0/10000 | 内存: 0.80 MB
